Label,Library_number,Sample_name,Extraction_number,Top_depth_shifted,Middle_depth,yrAD,yrBP,period,N_filtered_reads,molarity
HB_43,YW06L.01,HIBO_aDNA_100,YW12E.01,-0.5,0,2014,-64,contemporary,34172063,146904.5
HB_25,YW05L.01,HIBO_aDNA_107,YW12E.02,10,10.5,2000,-50,contemporary,32797003,123451.9
HB_26,YW05L.02,HIBO_aDNA_111,YW12E.03,34,34.5,1964,-14,contemporary,28322023,94048.5
HB_27,YW05L.03,HIBO_aDNA_114,YW12E.04,64,64.5,1850,100,late_modern,39368322,81126.8
HB_28,YW05L.04,HIBO_aDNA_116,YW12E.05,84,84.5,1704,246,early_modern,38620990,74864.4
HB_01,YW03L.01,HIBO_aDNA_118,YW05E.02,101.5,102,1579,371,early_modern,34439141,74625.6
HB_29,YW05L.05,HIBO_aDNA_120,YW12E.06,121.5,122,1447,503,middle_ages,27871769,52393.6
HB_30,YW05L.06,HIBO_aDNA_123,YW12E.07,151.5,152,1262,688,middle_ages,37642117,60000
HB_31,YW05L.07,HIBO_aDNA_126,YW12E.08,181.5,182,1072,878,middle_ages,38603771,54037.5
HB_32,YW05L.08,HIBO_aDNA_128,YW12E.09,208.5,209,878,1072,middle_ages,38345732,47563.8
HB_02,YW03L.02,HIBO_aDNA_129,YW05E.03,228.5,229,686,1264,middle_ages,42872398,93828.1
HB_33,YW05L.09,HIBO_aDNA_131,YW12E.10,268.5,269,303,1647,roman,34751561,62875.6
HB_08,YW03L.10,Bodensee_5-19_1,YW03E.01,300,300.5,-73,2023,iron_age,37756500,37721
HB_38,YW05L.15,Bodensee_5-19_13,YW02E.03,350,350.5,-689,2639,iron_age,30546584,129124.7
HB_03,YW03L.03,HIBO_aDNA_7,YW05E.04,407.5,408,-1315,3265,bronze_age,36836484,86359.6
HB_34,YW05L.10,HIBO_aDNA_9,YW12E.11,447,447.5,-1743,3693,bronze_age,28764893,81988
HB_09,YW03L.11,Bodensee_5-19_2,YW03E.02,500,500.5,-2376,4326,neolithic,36587054,65865.6
HB_39,YW05L.16,Bodensee_5-19_14,YW02E.04,550,550.5,-3003,4953,neolithic,37241515,125460.7
HB_15,YW04L.01,HIBO_aDNA_17,YW11E.01,605,605.5,-3712,5662,neolithic,37735366,15612.9
HB_04,YW03L.04,HIBO_aDNA_18,YW05E.05,623.8,624.3,-3947,5897,neolithic,33315999,82630.6
HB_16,YW04L.02,HIBO_aDNA_19,YW11E.02,643.8,644.3,-4200,6150,neolithic,29545431,32092
HB_05,YW03L.05,HIBO_aDNA_21,YW05E.06,682.9,683.4,-4706,6656,neolithic,39553771,47370.4
HB_10,YW03L.12,Bodensee_5-19_3,YW03E.03,700,700.5,-4926,6876,neolithic,36302481,32136.6
HB_40,YW05L.17,Bodensee_5-19_15,YW02E.05,750,750.5,-5569,7519,neolithic,37938011,37305.2
HB_17,YW04L.03,HIBO_aDNA_27,YW11E.03,804.4,804.9,-6345,8295,mesolithic,28771517,17290.1
HB_06,YW03L.06,HIBO_aDNA_29,YW05E.07,845.1,845.6,-6890,8840,mesolithic,37591024,48315
HB_36,YW05L.12,HIBO_aDNA_30,YW11E.04,865.1,865.6,-7138,9088,mesolithic,37640420,28429.2
HB_11,YW03L.13,Bodensee_5-19_4,YW03E.04,900,900.5,-7565,9515,mesolithic,39378841,36347.7
HB_18,YW04L.05,HIBO_aDNA_35,YW11E.06,965.6,966.1,-8830,10780,mesolithic,24754693,25714.5
HB_19,YW04L.06,HIBO_aDNA_37,YW11E.07,1003.3,1003.8,-9130,11080,mesolithic,31151526,20000
HB_20,YW04L.07,HIBO_aDNA_39,YW11E.08,1043.3,1043.8,-9444,11394,mesolithic,33862796,26173.2
HB_12,YW03L.14,Bodensee_5-19_5,YW03E.05,1100,1100.5,-9902,11852,mesolithic,36080679,36948.3
HB_22,YW04L.11,HIBO_aDNA_67,YW04E.04,1179.2,1179.7,-10545,12495,mesolithic,4407198,162405.9
HB_21,YW04L.10,HIBO_aDNA_98,YW11E.11,1312.5,1313,-11625,13575,mesolithic,26610929,36377.5
HB_07,YW03L.09,EB,YW05E.10,NA,NA,NA,NA,,99535,1019.4
HB_13,YW03L.15,EB,YW03E.11,NA,NA,NA,NA,,92446,5803.1
HB_14,YW03L.16,Blank,NA,NA,NA,NA,NA,,67189,6410
HB_23,YW04L.13,EB,YW04E.12,NA,NA,NA,NA,,53967,5564.7
HB_24,YW04L.14,Blank,NA,NA,NA,NA,NA,,10800,4784
HB_35,YW05L.11,EB,YW12E.12,NA,NA,NA,NA,,14515,106.4
HB_37,YW05L.13,EB,YW11E.12,NA,NA,NA,NA,,1695,2777
HB_41,YW05L.19,EB,YW02E.12,NA,NA,NA,NA,,28869,2939.9
HB_42,YW05L.20,Blank,NA,NA,NA,NA,NA,,18235,3600
HB_44,YW06L.02,Blank,NA,NA,NA,NA,NA,,24743,6857.6